ID Consumidor	G�nero	Estado civil	Pets	Bairro
137	F	Casado(a)	3	Cidade tiradentes
139	F	Casado(a)	1	Guaianases
140	F	Casado(a)	2	Guaianases
141	F	Casado(a)	4	Cidade tiradentes
144	F	Solteiro(a)	3	Cidade tiradentes
148	F	Solteiro(a)	2	Itaquera
154	F	Solteiro(a)	1	Itaquera
155	F	Casado(a)	1	Cidade tiradentes
156	F	Solteiro(a)	1	S�o Miguel Paulista
158	F	Casado(a)	3	Itaquera
159	F	Casado(a)	4	Guaianases
160	F	Casado(a)	1	Itaquera
161	F	Casado(a)	1	Guaianases
162	F	Casado(a)	3	Cidade tiradentes
164	F	Solteiro(a)	4	Guaianases
165	F	Solteiro(a)	2	Guaianases
168	F	Casado(a)	4	Vila Prudente
169	F	Casado(a)	1	Itaquera
170	F	Solteiro(a)	1	Cidade tiradentes
175	F	Solteiro(a)	1	S�o Miguel Paulista
177	F	Casado(a)	1	Itaquera
178	F	Solteiro(a)	1	Itaquera
179	F	Solteiro(a)	1	Cidade tiradentes
180	F	Solteiro(a)	4	Itaquera
181	F	Solteiro(a)	1	Guaianases
182	F	Casado(a)	1	Itaquera
187	F	Solteiro(a)	1	Itaquera
188	F	Casado(a)	4	Itaquera
190	F	Casado(a)	1	Itaquera
191	F	Solteiro(a)	4	Itaquera
192	F	Casado(a)	4	Guaianases
193	F	Solteiro(a)	1	Cidade tiradentes
194	F	Solteiro(a)	1	Cidade tiradentes
195	F	Solteiro(a)	4	Cidade tiradentes
197	F	Casado(a)	1	Guaianases
198	F	Casado(a)	1	Guaianases
208	F	Casado(a)	2	Itaquera
210	F	Casado(a)	1	Cidade tiradentes
211	F	Casado(a)	3	Cidade tiradentes
213	F	Solteiro(a)	3	Itaquera
216	F	Solteiro(a)	2	Itaquera
218	F	Solteiro(a)	2	Cidade tiradentes
221	F	Casado(a)	2	Itaquera
224	F	Casado(a)	3	S�o Miguel Paulista
225	F	Solteiro(a)	5	Guaianases
226	F	Solteiro(a)	2	Guaianases
227	F	Solteiro(a)	3	Itaquera
228	F	Casado(a)	3	Guaianases
229	F	Casado(a)	1	Itaquera
235	F	Casado(a)	2	Guaianases
238	F	Casado(a)	1	Guaianases
240	F	Casado(a)	2	Itaquera
242	F	Solteiro(a)	1	S�o Miguel Paulista
243	F	Solteiro(a)	1	Cidade tiradentes
244	F	Casado(a)	3	Cidade tiradentes
248	F	Solteiro(a)	1	Cidade tiradentes
250	F	Solteiro(a)	1	Guaianases
257	F	Casado(a)	3	Guaianases
260	F	Casado(a)	5	Guaianases
262	F	Solteiro(a)	4	Cidade tiradentes
264	F	Solteiro(a)	1	Vila Prudente
265	F	Solteiro(a)	4	Guaianases
268	F	Casado(a)	1	Cidade tiradentes
271	F	Solteiro(a)	2	Cidade tiradentes
272	F	Solteiro(a)	1	Guaianases
273	F	Solteiro(a)	1	Cidade tiradentes
274	F	Solteiro(a)	4	Itaquera
275	F	Casado(a)	2	Cidade tiradentes
280	F	Solteiro(a)	1	Itaquera
281	F	Solteiro(a)	1	Cidade tiradentes
282	F	Solteiro(a)	3	Guaianases
283	F	Solteiro(a)	3	Vila Prudente
286	F	Solteiro(a)	1	S�o Miguel Paulista
287	F	Casado(a)	1	Cidade tiradentes
291	F	Solteiro(a)	1	Cidade tiradentes
294	F	Solteiro(a)	1	Guaianases
296	F	Casado(a)	5	Cidade tiradentes
297	F	Casado(a)	5	Cidade tiradentes
298	F	Casado(a)	2	Cidade tiradentes
299	F	Casado(a)	1	Cidade tiradentes
301	F	Casado(a)	5	Guaianases
303	F	Casado(a)	1	Vila Prudente
304	F	Casado(a)	1	Itaquera
305	F	Solteiro(a)	4	Cidade tiradentes
309	F	Solteiro(a)	1	S�o Miguel Paulista
310	F	Solteiro(a)	1	Cidade tiradentes
312	F	Casado(a)	3	Itaquera
317	F	Casado(a)	1	Itaquera
319	F	Casado(a)	1	Itaquera
321	F	Solteiro(a)	2	Cidade tiradentes
322	F	Solteiro(a)	1	Guaianases
323	F	Casado(a)	4	Guaianases
328	F	Solteiro(a)	3	Guaianases
329	F	Solteiro(a)	2	Itaquera
330	F	Solteiro(a)	1	Cidade tiradentes
335	F	Solteiro(a)	5	Itaquera
336	F	Casado(a)	3	Cidade tiradentes
337	F	Casado(a)	1	S�o Miguel Paulista
338	F	Casado(a)	3	Vila Prudente
339	F	Solteiro(a)	2	Cidade tiradentes
340	F	Casado(a)	2	S�o Miguel Paulista
341	F	Casado(a)	1	Itaquera
344	F	Solteiro(a)	1	Cidade tiradentes
345	F	Casado(a)	2	Cidade tiradentes
346	F	Casado(a)	1	Itaquera
347	F	Solteiro(a)	4	Vila Prudente
349	F	Solteiro(a)	1	Vila Prudente
352	F	Casado(a)	1	Guaianases
354	F	Casado(a)	2	S�o Miguel Paulista
355	F	Solteiro(a)	1	Guaianases
360	F	Casado(a)	4	Guaianases
361	F	Solteiro(a)	1	Guaianases
363	F	Casado(a)	4	Itaquera
364	F	Casado(a)	4	Itaquera
365	F	Solteiro(a)	2	Vila Prudente
366	F	Solteiro(a)	2	Guaianases
369	F	Casado(a)	1	Itaquera
370	F	Casado(a)	2	Itaquera
372	F	Casado(a)	1	Vila Prudente
373	F	Solteiro(a)	2	Itaquera
376	F	Solteiro(a)	2	Guaianases
378	F	Solteiro(a)	1	Guaianases
381	F	Casado(a)	4	Itaquera
382	F	Casado(a)	4	Cidade tiradentes
389	F	Casado(a)	1	Cidade tiradentes
391	F	Solteiro(a)	4	Cidade tiradentes
392	F	Casado(a)	1	Itaquera
394	F	Solteiro(a)	2	Vila Prudente
395	F	Casado(a)	4	Guaianases
397	F	Casado(a)	2	Cidade tiradentes
398	F	Solteiro(a)	1	Itaquera
399	F	Casado(a)	3	Cidade tiradentes
400	F	Casado(a)	1	S�o Miguel Paulista
402	F	Solteiro(a)	1	Vila Prudente
405	F	Solteiro(a)	3	Itaquera
406	F	Solteiro(a)	1	Itaquera
409	F	Casado(a)	1	Guaianases
411	F	Casado(a)	1	Itaquera
414	F	Casado(a)	3	Cidade tiradentes
415	F	Solteiro(a)	4	Cidade tiradentes
417	F	Solteiro(a)	1	Itaquera
422	F	Casado(a)	2	Itaquera
423	F	Solteiro(a)	5	Cidade tiradentes
426	F	Casado(a)	4	Itaquera
430	F	Solteiro(a)	3	Guaianases
432	F	Casado(a)	4	Itaquera
436	F	Casado(a)	1	Cidade tiradentes
438	F	Casado(a)	2	Cidade tiradentes
439	F	Casado(a)	3	Itaquera
440	F	Casado(a)	5	Itaquera
441	F	Casado(a)	5	Vila Prudente
443	F	Solteiro(a)	1	Vila Prudente
446	F	Solteiro(a)	2	Itaquera
447	F	Solteiro(a)	1	Cidade tiradentes
448	F	Casado(a)	1	Itaquera
450	F	Solteiro(a)	3	Cidade tiradentes
451	F	Casado(a)	1	Cidade tiradentes
453	F	Casado(a)	3	Guaianases
454	F	Solteiro(a)	3	Itaquera
457	F	Solteiro(a)	1	Cidade tiradentes
462	F	Solteiro(a)	2	S�o Miguel Paulista
463	F	Solteiro(a)	3	S�o Miguel Paulista
464	F	Solteiro(a)	3	Itaquera
465	F	Solteiro(a)	3	Itaquera
466	F	Casado(a)	4	Cidade tiradentes
467	F	Solteiro(a)	1	Itaquera
468	F	Casado(a)	2	Vila Prudente
471	F	Solteiro(a)	3	Guaianases
472	F	Casado(a)	1	Itaquera
473	F	Casado(a)	3	Guaianases
474	F	Casado(a)	1	Cidade tiradentes
476	F	Solteiro(a)	1	Itaquera
478	F	Casado(a)	5	Guaianases
480	F	Casado(a)	3	S�o Miguel Paulista
481	F	Casado(a)	2	Guaianases
482	F	Solteiro(a)	4	Guaianases
484	F	Casado(a)	3	Itaquera
486	F	Casado(a)	2	Cidade tiradentes
487	F	Solteiro(a)	4	Cidade tiradentes
489	F	Casado(a)	2	S�o Miguel Paulista
491	F	Casado(a)	2	S�o Miguel Paulista
492	F	Casado(a)	1	Vila Prudente
493	F	Casado(a)	5	Itaquera
494	F	Solteiro(a)	1	Cidade tiradentes
497	F	Solteiro(a)	4	S�o Miguel Paulista
498	F	Solteiro(a)	1	Cidade tiradentes
499	F	Solteiro(a)	1	Guaianases
502	F	Solteiro(a)	3	Itaquera
504	F	Solteiro(a)	4	Itaquera
506	F	Solteiro(a)	3	Cidade tiradentes
510	F	Solteiro(a)	1	S�o Miguel Paulista
511	F	Casado(a)	4	Guaianases
518	F	Casado(a)	3	Cidade tiradentes
521	F	Casado(a)	1	Guaianases
524	F	Solteiro(a)	2	Itaquera
526	F	Casado(a)	2	Guaianases
529	F	Solteiro(a)	4	Guaianases
533	F	Casado(a)	1	Itaquera
534	F	Casado(a)	3	S�o Miguel Paulista
537	F	Casado(a)	3	S�o Miguel Paulista
538	F	Solteiro(a)	5	Guaianases
540	F	Solteiro(a)	4	Cidade tiradentes
541	F	Solteiro(a)	1	Guaianases
542	F	Casado(a)	3	Cidade tiradentes
543	F	Casado(a)	3	Itaquera
545	F	Solteiro(a)	3	Itaquera
546	F	Solteiro(a)	3	S�o Miguel Paulista
547	F	Solteiro(a)	1	Guaianases
551	F	Solteiro(a)	2	Itaquera
552	F	Solteiro(a)	4	Guaianases
553	F	Casado(a)	1	Cidade tiradentes
554	F	Solteiro(a)	2	S�o Miguel Paulista
563	F	Solteiro(a)	4	Itaquera
564	F	Casado(a)	3	Guaianases
565	F	Solteiro(a)	4	Itaquera
566	F	Solteiro(a)	5	Vila Prudente
567	F	Solteiro(a)	1	Cidade tiradentes
568	F	Solteiro(a)	1	S�o Miguel Paulista
569	F	Solteiro(a)	1	S�o Miguel Paulista
570	F	Solteiro(a)	1	Itaquera
571	F	Solteiro(a)	1	Guaianases
572	F	Casado(a)	3	Vila Prudente
573	F	Solteiro(a)	2	Guaianases
574	F	Solteiro(a)	2	Guaianases
581	F	Solteiro(a)	1	Guaianases
587	F	Casado(a)	2	Itaquera
588	F	Casado(a)	4	S�o Miguel Paulista
591	F	Solteiro(a)	3	Guaianases
593	F	Casado(a)	3	Itaquera
594	F	Solteiro(a)	1	Itaquera
595	F	Solteiro(a)	4	Guaianases
597	F	Solteiro(a)	4	Guaianases
598	F	Casado(a)	1	Cidade tiradentes
601	F	Solteiro(a)	4	Cidade tiradentes
602	F	Solteiro(a)	3	Itaquera
603	F	Casado(a)	1	Guaianases
604	F	Solteiro(a)	2	Vila Prudente
606	F	Solteiro(a)	4	Cidade tiradentes
612	F	Casado(a)	3	Vila Prudente
614	F	Casado(a)	2	Itaquera
615	F	Casado(a)	4	S�o Miguel Paulista
617	F	Solteiro(a)	3	Itaquera
618	F	Casado(a)	1	Guaianases
619	F	Casado(a)	2	Itaquera
621	F	Casado(a)	2	Guaianases
622	F	Solteiro(a)	2	S�o Miguel Paulista
624	F	Solteiro(a)	3	Itaquera
625	F	Solteiro(a)	1	Itaquera
629	F	Casado(a)	4	Guaianases
630	F	Solteiro(a)	4	Guaianases
632	F	Casado(a)	2	Cidade tiradentes
633	F	Casado(a)	2	Cidade tiradentes
636	F	Solteiro(a)	1	Itaquera
638	F	Casado(a)	3	Guaianases
639	F	Casado(a)	2	Itaquera
644	F	Casado(a)	4	Itaquera
645	F	Solteiro(a)	1	Guaianases
647	F	Casado(a)	5	Guaianases
649	F	Casado(a)	3	S�o Miguel Paulista
652	F	Solteiro(a)	3	Cidade tiradentes
654	F	Casado(a)	3	Guaianases
655	F	Casado(a)	1	S�o Miguel Paulista
658	F	Solteiro(a)	3	Itaquera
662	F	Casado(a)	3	Guaianases
663	F	Solteiro(a)	3	Guaianases
664	F	Solteiro(a)	2	Itaquera
665	F	Solteiro(a)	4	Cidade tiradentes
669	F	Solteiro(a)	2	Itaquera
670	F	Solteiro(a)	4	S�o Miguel Paulista
673	F	Casado(a)	1	Guaianases
676	F	Solteiro(a)	5	Itaquera
680	F	Casado(a)	3	S�o Miguel Paulista
681	F	Solteiro(a)	4	Guaianases
682	F	Solteiro(a)	2	Cidade tiradentes
683	F	Casado(a)	1	S�o Miguel Paulista
689	F	Solteiro(a)	4	Guaianases
690	F	Solteiro(a)	5	Guaianases
697	F	Casado(a)	2	Itaquera
698	F	Casado(a)	1	Itaquera
704	F	Casado(a)	1	S�o Miguel Paulista
711	F	Casado(a)	2	Itaquera
717	F	Solteiro(a)	4	Cidade tiradentes
719	F	Casado(a)	1	Itaquera
724	F	Solteiro(a)	2	Cidade tiradentes
726	F	Solteiro(a)	4	Itaquera
727	F	Casado(a)	3	Cidade tiradentes
728	F	Casado(a)	5	Cidade tiradentes
729	F	Solteiro(a)	3	Guaianases
731	F	Casado(a)	1	S�o Miguel Paulista
732	F	Solteiro(a)	5	Cidade tiradentes
733	F	Solteiro(a)	1	Guaianases
734	F	Solteiro(a)	3	Cidade tiradentes
736	F	Solteiro(a)	1	Vila Prudente
739	F	Casado(a)	4	S�o Miguel Paulista
740	F	Solteiro(a)	5	Guaianases
741	F	Casado(a)	2	Guaianases
742	F	Casado(a)	4	Itaquera
745	F	Casado(a)	5	Itaquera
746	F	Solteiro(a)	1	Itaquera
747	F	Casado(a)	4	Guaianases
749	F	Solteiro(a)	2	Cidade tiradentes
750	F	Solteiro(a)	3	Itaquera
751	F	Solteiro(a)	3	Itaquera
753	F	Solteiro(a)	1	Guaianases
754	F	Solteiro(a)	3	Guaianases
755	F	Solteiro(a)	3	Itaquera
757	F	Solteiro(a)	4	Itaquera
758	F	Solteiro(a)	4	Vila Prudente
759	F	Casado(a)	1	Cidade tiradentes
760	F	Solteiro(a)	1	Guaianases
766	F	Casado(a)	4	Itaquera
767	F	Solteiro(a)	2	S�o Miguel Paulista
769	F	Solteiro(a)	4	Guaianases
770	F	Solteiro(a)	3	Itaquera
771	F	Solteiro(a)	3	Itaquera
774	F	Casado(a)	1	Itaquera
779	F	Casado(a)	2	Itaquera
780	F	Solteiro(a)	5	Itaquera
781	F	Casado(a)	2	Guaianases
782	F	Casado(a)	5	Itaquera
783	F	Solteiro(a)	1	Guaianases
786	F	Solteiro(a)	1	Itaquera
788	F	Casado(a)	5	Itaquera
789	F	Casado(a)	4	Guaianases
790	F	Solteiro(a)	2	Itaquera
792	F	Solteiro(a)	3	Itaquera
796	F	Solteiro(a)	4	Guaianases
799	F	Casado(a)	2	Cidade tiradentes
803	F	Solteiro(a)	2	Itaquera
804	F	Casado(a)	2	S�o Miguel Paulista
806	F	Casado(a)	2	Itaquera
808	F	Solteiro(a)	1	Itaquera
810	F	Casado(a)	3	Cidade tiradentes
815	F	Casado(a)	3	S�o Miguel Paulista
816	F	Casado(a)	4	Cidade tiradentes
817	F	Solteiro(a)	2	Itaquera
818	F	Casado(a)	2	Itaquera
819	F	Solteiro(a)	2	Itaquera
820	F	Solteiro(a)	5	Guaianases
822	F	Solteiro(a)	2	Cidade tiradentes
823	F	Solteiro(a)	3	Guaianases
824	F	Solteiro(a)	3	Cidade tiradentes
826	F	Casado(a)	3	S�o Miguel Paulista
827	F	Solteiro(a)	1	Guaianases
828	F	Casado(a)	1	Itaquera
831	F	Casado(a)	2	Itaquera
834	F	Solteiro(a)	2	Guaianases
837	F	Solteiro(a)	4	Guaianases
838	F	Solteiro(a)	4	S�o Miguel Paulista
839	F	Solteiro(a)	3	Itaquera
841	F	Casado(a)	1	Vila Prudente
843	F	Solteiro(a)	1	S�o Miguel Paulista
847	F	Casado(a)	4	Itaquera
850	F	Casado(a)	2	Guaianases
852	F	Solteiro(a)	2	Itaquera
856	F	Casado(a)	5	Guaianases
857	F	Solteiro(a)	4	Itaquera
863	F	Casado(a)	5	Itaquera
864	F	Solteiro(a)	3	Guaianases
866	F	Casado(a)	4	Cidade tiradentes
867	F	Solteiro(a)	1	Cidade tiradentes
868	F	Solteiro(a)	5	Cidade tiradentes
869	F	Solteiro(a)	2	S�o Miguel Paulista
870	F	Solteiro(a)	3	Guaianases
872	F	Casado(a)	3	S�o Miguel Paulista
873	F	Casado(a)	4	Guaianases
874	F	Casado(a)	1	Cidade tiradentes
875	F	Solteiro(a)	4	Cidade tiradentes
876	F	Casado(a)	5	Cidade tiradentes
878	F	Solteiro(a)	1	Guaianases
879	F	Casado(a)	5	Itaquera
880	M	Solteiro(a)	1	Guaianases
886	M	Casado(a)	4	Itaquera
887	F	Solteiro(a)	5	Vila Prudente
893	F	Casado(a)	3	Itaquera
895	F	Solteiro(a)	5	Cidade tiradentes
896	F	Casado(a)	5	Cidade tiradentes
897	M	Solteiro(a)	1	Cidade tiradentes
898	F	Casado(a)	1	Cidade tiradentes
900	F	Solteiro(a)	1	Guaianases
901	M	Solteiro(a)	2	Itaquera
904	M	Casado(a)	4	Cidade tiradentes
905	M	Solteiro(a)	4	Guaianases
906	M	Casado(a)	1	Guaianases
907	F	Casado(a)	3	Cidade tiradentes
908	F	Solteiro(a)	4	Guaianases
909	F	Solteiro(a)	1	Itaquera
910	M	Solteiro(a)	1	Itaquera
911	M	Solteiro(a)	2	Cidade tiradentes
913	M	Casado(a)	2	S�o Miguel Paulista
916	M	Solteiro(a)	3	Itaquera
917	M	Casado(a)	2	Itaquera
918	M	Casado(a)	1	Guaianases
919	M	Casado(a)	5	S�o Miguel Paulista
921	M	Solteiro(a)	5	S�o Miguel Paulista
922	M	Solteiro(a)	4	Cidade tiradentes
924	M	Casado(a)	5	Guaianases
925	M	Solteiro(a)	1	Cidade tiradentes
927	M	Casado(a)	3	Cidade tiradentes
930	F	Casado(a)	2	Itaquera
933	M	Solteiro(a)	2	Cidade tiradentes
934	F	Solteiro(a)	1	Itaquera
937	F	Casado(a)	4	Cidade tiradentes
938	M	Casado(a)	4	S�o Miguel Paulista
941	M	Solteiro(a)	1	Itaquera
943	F	Solteiro(a)	2	Cidade tiradentes
944	F	Casado(a)	3	Itaquera
948	M	Solteiro(a)	5	S�o Miguel Paulista
950	M	Solteiro(a)	4	Itaquera
952	M	Casado(a)	2	Cidade tiradentes
955	F	Casado(a)	3	Itaquera
958	M	Casado(a)	4	Guaianases
959	M	Solteiro(a)	1	Cidade tiradentes
962	M	Casado(a)	2	Itaquera
965	F	Casado(a)	2	S�o Miguel Paulista
967	F	Solteiro(a)	1	Itaquera
968	F	Casado(a)	1	Itaquera
970	F	Solteiro(a)	1	Vila Prudente
971	F	Casado(a)	3	S�o Miguel Paulista
972	M	Solteiro(a)	4	S�o Miguel Paulista
974	F	Casado(a)	4	Cidade tiradentes
975	F	Solteiro(a)	1	Cidade tiradentes
976	F	Casado(a)	5	Guaianases
978	M	Casado(a)	3	S�o Miguel Paulista
979	F	Solteiro(a)	1	Itaquera
981	M	Solteiro(a)	1	Guaianases
983	F	Solteiro(a)	2	Guaianases
985	F	Casado(a)	2	Guaianases
988	F	Casado(a)	2	Itaquera
991	F	Casado(a)	1	Guaianases
992	F	Solteiro(a)	3	Itaquera
993	M	Casado(a)	3	Itaquera
994	M	Solteiro(a)	5	Itaquera
995	M	Casado(a)	1	Itaquera
996	M	Solteiro(a)	2	Itaquera
997	F	Solteiro(a)	4	Guaianases
1002	F	Casado(a)	2	S�o Miguel Paulista
1003	M	Casado(a)	3	Itaquera
1004	F	Casado(a)	3	Itaquera
1005	M	Solteiro(a)	2	Guaianases
1013	F	Casado(a)	2	S�o Miguel Paulista
1014	F	Casado(a)	2	S�o Miguel Paulista
1015	M	Casado(a)	4	Itaquera
1017	F	Casado(a)	4	Cidade tiradentes
1022	M	Casado(a)	3	Cidade tiradentes
1023	M	Casado(a)	1	Itaquera
1024	F	Casado(a)	1	Itaquera
1025	M	Casado(a)	2	Cidade tiradentes
1026	M	Solteiro(a)	1	S�o Miguel Paulista
1031	F	Casado(a)	2	Cidade tiradentes
1032	F	Casado(a)	2	S�o Miguel Paulista
1035	M	Casado(a)	1	Itaquera
1036	F	Solteiro(a)	3	Itaquera
1037	M	Solteiro(a)	5	Cidade tiradentes
1038	F	Casado(a)	3	S�o Miguel Paulista
1041	M	Solteiro(a)	4	Guaianases
1042	F	Casado(a)	1	Guaianases
1044	F	Solteiro(a)	1	Guaianases
1048	M	Solteiro(a)	4	Itaquera
1049	F	Casado(a)	4	Guaianases
1050	F	Solteiro(a)	1	Cidade tiradentes
1051	F	Solteiro(a)	1	Cidade tiradentes
1052	F	Casado(a)	1	Itaquera
1053	F	Solteiro(a)	1	Itaquera
1055	M	Casado(a)	1	Itaquera
1056	F	Casado(a)	2	S�o Miguel Paulista
1057	F	Casado(a)	2	Vila Prudente
1058	F	Solteiro(a)	2	Itaquera
1059	M	Solteiro(a)	4	Cidade tiradentes
1062	F	Casado(a)	4	S�o Miguel Paulista
1066	M	Casado(a)	1	Vila Prudente
1067	M	Solteiro(a)	2	Cidade tiradentes
1068	M	Casado(a)	1	Cidade tiradentes
1070	F	Solteiro(a)	2	Guaianases
1071	M	Solteiro(a)	1	Itaquera
1073	M	Solteiro(a)	5	Itaquera
1074	M	Solteiro(a)	1	Itaquera
1076	F	Casado(a)	4	Vila Prudente
1079	F	Casado(a)	2	Itaquera
1082	F	Casado(a)	3	Itaquera
1083	M	Casado(a)	5	Guaianases
1084	M	Casado(a)	2	Guaianases
1085	F	Solteiro(a)	4	Cidade tiradentes
1089	M	Solteiro(a)	3	Itaquera
1090	M	Solteiro(a)	1	Itaquera
1091	F	Solteiro(a)	1	Itaquera
1092	M	Casado(a)	3	Cidade tiradentes
1093	F	Solteiro(a)	3	Itaquera
1094	F	Casado(a)	3	Itaquera
1097	M	Solteiro(a)	1	S�o Miguel Paulista
1101	M	Casado(a)	3	Cidade tiradentes
1102	F	Casado(a)	2	Itaquera
1103	F	Casado(a)	4	Guaianases
1107	M	Solteiro(a)	1	Vila Prudente
1109	F	Solteiro(a)	5	Cidade tiradentes
1110	M	Casado(a)	2	Itaquera
1111	M	Casado(a)	1	Vila Prudente
1112	M	Casado(a)	4	Guaianases
1113	M	Casado(a)	1	S�o Miguel Paulista
1114	M	Casado(a)	4	Guaianases
1115	F	Solteiro(a)	3	Vila Prudente
1116	M	Solteiro(a)	4	Cidade tiradentes
1117	M	Solteiro(a)	5	S�o Miguel Paulista
1119	F	Casado(a)	2	Cidade tiradentes
1124	M	Solteiro(a)	3	Guaianases
1125	F	Casado(a)	1	S�o Miguel Paulista
1127	M	Solteiro(a)	5	Cidade tiradentes
1128	F	Solteiro(a)	1	Itaquera
1130	M	Solteiro(a)	5	Itaquera
1131	M	Solteiro(a)	1	Itaquera
1132	F	Casado(a)	2	Guaianases
1133	F	Solteiro(a)	3	Itaquera
1135	F	Casado(a)	2	Cidade tiradentes
1138	M	Casado(a)	2	Cidade tiradentes
1140	M	Casado(a)	1	Vila Prudente
1141	M	Solteiro(a)	3	Guaianases
1144	M	Casado(a)	1	Cidade tiradentes
1145	F	Solteiro(a)	1	Itaquera
1146	F	Casado(a)	5	Guaianases
1147	F	Solteiro(a)	3	Itaquera
1152	M	Casado(a)	4	Itaquera
1153	M	Solteiro(a)	1	Itaquera
1154	F	Solteiro(a)	5	Itaquera
1157	M	Casado(a)	1	Guaianases
1159	F	Solteiro(a)	2	Guaianases
1161	M	Solteiro(a)	5	Itaquera
1162	M	Casado(a)	2	Cidade tiradentes
1164	F	Solteiro(a)	1	S�o Miguel Paulista
1166	M	Solteiro(a)	1	Itaquera
1167	M	Casado(a)	3	Cidade tiradentes
1168	F	Casado(a)	1	Itaquera
1169	M	Casado(a)	1	Cidade tiradentes
1170	F	Solteiro(a)	5	Guaianases
1171	F	Solteiro(a)	2	Cidade tiradentes
1172	M	Casado(a)	3	Itaquera
1173	M	Solteiro(a)	2	Itaquera
1174	M	Solteiro(a)	5	S�o Miguel Paulista
1175	F	Casado(a)	4	Itaquera
1177	F	Solteiro(a)	1	S�o Miguel Paulista
1178	M	Solteiro(a)	4	Guaianases
1180	M	Casado(a)	5	Cidade tiradentes
1183	M	Solteiro(a)	3	S�o Miguel Paulista
1184	M	Solteiro(a)	5	Vila Prudente
1185	M	Casado(a)	4	Itaquera
1187	M	Solteiro(a)	2	Itaquera
1189	M	Solteiro(a)	3	Itaquera
1190	F	Solteiro(a)	5	Cidade tiradentes
1191	M	Solteiro(a)	2	Guaianases
1192	M	Casado(a)	4	Itaquera
1193	F	Solteiro(a)	1	Itaquera
1194	F	Solteiro(a)	1	Guaianases
1195	F	Solteiro(a)	5	Guaianases
1196	M	Solteiro(a)	1	Itaquera
1197	M	Solteiro(a)	1	S�o Miguel Paulista
1201	M	Casado(a)	1	Guaianases
1202	M	Casado(a)	1	Guaianases
1203	M	Casado(a)	2	Itaquera
1204	F	Casado(a)	4	Guaianases
1205	F	Casado(a)	1	Itaquera
1207	M	Solteiro(a)	2	Vila Prudente
1209	M	Casado(a)	3	Guaianases
1212	M	Casado(a)	3	Vila Prudente
1214	M	Casado(a)	3	Guaianases
1215	M	Solteiro(a)	1	Itaquera
1216	M	Solteiro(a)	1	Itaquera
1217	F	Solteiro(a)	3	Cidade tiradentes
1221	F	Casado(a)	1	Itaquera
1222	M	Casado(a)	3	Guaianases
1224	M	Casado(a)	3	Guaianases
1228	M	Solteiro(a)	3	Cidade tiradentes
1232	M	Casado(a)	2	S�o Miguel Paulista
1234	F	Casado(a)	1	Cidade tiradentes
1235	M	Solteiro(a)	2	Guaianases
